srr_accession	srx_accession	srs_accession	srp_accession	bioproject	organism	strain	platform	instrument	total_bases	total_spots	library_strategy	library_source	library_layout	title
ERR1475881	ERX1546909	ERS1110727	ERP005928	PRJEB6403	Legionella pneumophila	NCTC12008	PACBIO_SMRT	PacBio RS	1798506521	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475880	ERX1546908	ERS1110726	ERP005928	PRJEB6403	Legionella pneumophila	NCTC11404	PACBIO_SMRT	PacBio RS	1039102618	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475879	ERX1546907	ERS1110725	ERP005928	PRJEB6403	Legionella donaldsonii	NCTC13292	PACBIO_SMRT	PacBio RS	1028989180	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475878	ERX1546906	ERS1110722	ERP005928	PRJEB6403	Legionella pneumophila	NCTC11230	PACBIO_SMRT	PacBio RS	994225865	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475877	ERX1546905	ERS1110721	ERP005928	PRJEB6403	Legionella pneumophila	NCTC11193	PACBIO_SMRT	PacBio RS	855441554	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475876	ERX1546904	ERS1110720	ERP005928	PRJEB6403	Bordetella pertussis	NCTC10910	PACBIO_SMRT	PacBio RS	911104269	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475875	ERX1546903	ERS1110719	ERP005928	PRJEB6403	Bordetella pertussis	NCTC10908	PACBIO_SMRT	PacBio RS	1141867723	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475874	ERX1546902	ERS1110718	ERP005928	PRJEB6403	Bordetella pertussis	NCTC10905	PACBIO_SMRT	PacBio RS	865152254	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475873	ERX1546901	ERS1110717	ERP005928	PRJEB6403	Bordetella pertussis	NCTC10902	PACBIO_SMRT	PacBio RS	895156299	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475872	ERX1546900	ERS1110716	ERP005928	PRJEB6403	Burkholderia cenocepacia	NCTC13008	PACBIO_SMRT	PacBio RS	1883088449	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475871	ERX1546899	ERS1110715	ERP005928	PRJEB6403	Pseudomonas synxantha	NCTC10696	PACBIO_SMRT	PacBio RS	1121014243	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475870	ERX1546898	ERS1110714	ERP005928	PRJEB6403	Pseudomonas aeruginosa	NCTC13715	PACBIO_SMRT	PacBio RS	1599017158	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475869	ERX1546897	ERS1110713	ERP005928	PRJEB6403	Corynebacterium minutissimum	NCTC10284	PACBIO_SMRT	PacBio RS	874714466	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475868	ERX1546896	ERS1080588	ERP005928	PRJEB6403	Bordetella parapertussis	NCTC10853	PACBIO_SMRT	PacBio RS	1200423134	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475867	ERX1546895	ERS1080585	ERP005928	PRJEB6403	Bordetella parapertussis	NCTC10524	PACBIO_SMRT	PacBio RS	1902111442	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475866	ERX1546894	ERS1080584	ERP005928	PRJEB6403	Bordetella parapertussis	NCTC10522	PACBIO_SMRT	PacBio RS	1095546562	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
ERR1475865	ERX1546893	ERS1080583	ERP005928	PRJEB6403	Bordetella bronchiseptica	NCTC8762	PACBIO_SMRT	PacBio RS	1046759622	163482	WGS	GENOMIC	SINGLE	PacBio RS sequencing
SRR3726984	SRX1883761	SRS1529861	SRP077537	PRJNA239515	Pseudomonas sp. Eur1 9.41	Eur1 9.41	PACBIO_SMRT	PacBio RS	209249305	78435	WGS	GENOMIC	SINGLE	Pseudomonas sp. Eur1 9.41
SRR3726983	SRX1883760	SRS1529861	SRP077537	PRJNA239515	Pseudomonas sp. Eur1 9.41	Eur1 9.41	PACBIO_SMRT	PacBio RS	234094849	82594	WGS	GENOMIC	SINGLE	Pseudomonas sp. Eur1 9.41
